Time(s),ECG(mV)
6.924,0.055
6.928,0.08
6.932,0.07
6.936,0.075
6.94,0.06
6.944,0.08
6.948,0.065
6.952,0.08
6.956,0.085
6.96,0.08
6.964,0.08
6.968,0.08
6.972,0.08
6.976,0.09
6.98,0.075
6.984,0.09
6.988,0.085
6.992,0.08
6.996,0.085
7.0,0.08
7.004,0.09
7.008,0.08
7.012,0.09
7.016,0.085
7.02,0.1
7.024,0.09
7.028,0.1
7.032,0.085
7.036,0.11
7.04,0.12
7.044,0.105
7.048,0.115
7.052,0.12
7.056,0.125
7.06,0.14
7.064,0.14
7.068,0.155
7.072,0.135
7.076,0.145
7.08,0.14
7.084,0.125
7.088,0.125
7.092,0.125
7.096,0.1
7.1,0.115
7.104,0.11
7.108,0.09
7.112,0.09
7.116,0.1
7.12,0.08
7.124,0.07
7.128,0.055
7.132,0.06
7.136,0.06
7.14,0.065
7.144,0.06
7.148,0.065
7.152,0.055
7.156,0.075
7.16,0.07
7.164,0.075
7.168,0.065
7.172,0.065
7.176,0.065
7.18,0.065
7.184,0.08
7.188,0.075
7.192,0.085
7.196,0.125
7.2,0.175
7.204,0.25
7.208,0.39
7.212,0.59
7.216,0.8
7.22,0.925
7.224,0.92
7.228,0.665
7.232,0.275
7.236,-0.12
7.24,-0.325
7.244,-0.39
7.248,-0.32
7.252,-0.215
7.256,-0.125
7.26,-0.06
7.264,-0.02
7.268,0.03
7.272,0.06
7.276,0.085
7.28,0.08
7.284,0.065
7.288,0.08
7.292,0.08
7.296,0.08
7.3,0.1
7.304,0.095
7.308,0.1
7.312,0.11
7.316,0.095
7.32,0.12
7.324,0.115
7.328,0.115
7.332,0.11
7.336,0.1
7.34,0.12
7.344,0.115
7.348,0.135
7.352,0.115
7.356,0.125
7.36,0.14
7.364,0.125
7.368,0.135
7.372,0.125
7.376,0.15
7.38,0.14
7.384,0.14
7.388,0.15
7.392,0.14
7.396,0.135
7.4,0.16
7.404,0.17
7.408,0.16
7.412,0.17
7.416,0.18
7.42,0.18
7.424,0.18
7.428,0.19
7.432,0.185
7.436,0.2
7.44,0.21
7.444,0.23
7.448,0.22
7.452,0.22
7.456,0.22
7.46,0.225
7.464,0.225
7.468,0.23
7.472,0.235
7.476,0.235
7.48,0.225
7.484,0.22
7.488,0.215
7.492,0.205
7.496,0.2
7.5,0.21
7.504,0.195
7.508,0.19
7.512,0.16
7.516,0.17
7.52,0.14
7.524,0.105
7.528,0.11
7.532,0.085
7.536,0.075
7.54,0.06
7.544,0.045
7.548,0.04
7.552,0.025
7.556,0.025
7.56,0.03
7.564,0.02
7.568,0.01
7.572,-0.0
7.576,-0.0
7.58,0.005
7.584,0.005
7.588,0.015
7.592,0.005
7.596,0.02
7.6,0.02
7.604,0.005
7.608,-0.0
7.612,0.01
7.616,0.025
7.62,0.03
7.624,0.025
7.628,0.025
7.632,0.02
7.636,0.02
7.64,0.02
7.644,0.01
7.648,0.02
7.652,0.04
7.656,0.03
7.66,0.035
7.664,0.04
7.668,0.035
7.672,0.045
7.676,0.04
7.68,0.025
7.684,0.03
7.688,0.045
7.692,0.035
7.696,0.035
7.7,0.035
7.704,0.055
7.708,0.045
7.712,0.035
7.716,0.045
7.72,0.04
7.724,0.04
7.728,0.04
7.732,0.04
7.736,0.055
7.74,0.04
7.744,0.045
7.748,0.045
7.752,0.04
7.756,0.05
7.76,0.055
7.764,0.045
7.768,0.06
7.772,0.045
7.776,0.05
7.78,0.06
7.784,0.045
7.788,0.06
7.792,0.06
7.796,0.05
7.8,0.035
7.804,0.055
7.808,0.05
7.812,0.06
7.816,0.07
7.82,0.07
7.824,0.07
7.828,0.065
7.832,0.075
7.836,0.065
7.84,0.07
7.844,0.075
7.848,0.08
7.852,0.065
7.856,0.065
7.86,0.08
7.864,0.065
7.868,0.075
7.872,0.065
7.876,0.09
7.88,0.08
7.884,0.09
7.888,0.07
7.892,0.085
7.896,0.09
7.9,0.1
7.904,0.1
7.908,0.1
7.912,0.09
7.916,0.115
7.92,0.105
7.924,0.1
7.928,0.105
7.932,0.12
7.936,0.115
7.94,0.135
7.944,0.13
7.948,0.12
7.952,0.14
7.956,0.13
7.96,0.14
7.964,0.145
7.968,0.125
7.972,0.11
7.976,0.12
7.98,0.1
7.984,0.11
7.988,0.1
7.992,0.1
7.996,0.09
8.0,0.095
8.004,0.075
8.008,0.065
8.012,0.055
8.016,0.06
8.02,0.055
8.024,0.065
8.028,0.06
8.032,0.06
8.036,0.06
8.04,0.06
8.044,0.07
8.048,0.06
8.052,0.06
8.056,0.055
8.06,0.07
8.064,0.06
8.068,0.075
8.072,0.07
8.076,0.085
8.08,0.11
8.084,0.155
8.088,0.225
8.092,0.355
8.096,0.54
8.1,0.755
8.104,0.915
8.108,0.935
8.112,0.68
8.116,0.32
8.12,-0.08
8.124,-0.3
8.128,-0.395
8.132,-0.33
8.136,-0.22
8.14,-0.125
8.144,-0.06
8.148,-0.01
8.152,0.02
8.156,0.035
8.16,0.08
8.164,0.075
8.168,0.095
8.172,0.065
8.176,0.08
8.18,0.08
8.184,0.09
8.188,0.09
8.192,0.1
8.196,0.09
8.2,0.11
8.204,0.11
8.208,0.11
8.212,0.095
8.216,0.105
8.22,0.115
8.224,0.12
8.228,0.125
8.232,0.115
8.236,0.12
8.24,0.13
8.244,0.14
8.248,0.135
8.252,0.125
8.256,0.14
8.26,0.15
8.264,0.15
8.268,0.145
8.272,0.145
8.276,0.155
8.28,0.16
8.284,0.16
8.288,0.15
8.292,0.165
8.296,0.18
8.3,0.17
8.304,0.175
8.308,0.195
8.312,0.19
8.316,0.185
8.32,0.195
8.324,0.205
8.328,0.22
8.332,0.22
8.336,0.225
8.34,0.24
8.344,0.22
8.348,0.22
8.352,0.22
8.356,0.22
8.36,0.22
8.364,0.22
8.368,0.235
8.372,0.215
8.376,0.2
8.38,0.185
8.384,0.19
8.388,0.19
8.392,0.185
8.396,0.145
8.4,0.14
8.404,0.125
8.408,0.115
8.412,0.105
8.416,0.075
8.42,0.08
8.424,0.06
8.428,0.045
8.432,0.04
8.436,0.025
8.44,0.02
8.444,0.015
8.448,0.015
8.452,-0.0
8.456,0.01
8.46,0.005
8.464,0.01
8.468,0.005
8.472,-0.0
8.476,0.01
8.48,0.02
8.484,-0.0
8.488,0.015
8.492,0.02
8.496,0.015
8.5,0.01
8.504,0.03
8.508,0.035
8.512,0.02
8.516,0.03
8.52,0.035
8.524,0.025
8.528,0.035
8.532,0.035
8.536,0.02
8.54,0.02
8.544,0.04
8.548,0.02
8.552,0.03
8.556,0.03
8.56,0.04
8.564,0.04
8.568,0.04
8.572,0.04
8.576,0.06
8.58,0.04
8.584,0.05
8.588,0.05
8.592,0.045
8.596,0.04
8.6,0.055
8.604,0.06
8.608,0.05
8.612,0.055
8.616,0.04
8.62,0.055
8.624,0.05
8.628,0.05
8.632,0.04
8.636,0.06
8.64,0.04
8.644,0.05
8.648,0.04
8.652,0.045
8.656,0.04
8.66,0.045
8.664,0.055
8.668,0.04
8.672,0.06
8.676,0.04
8.68,0.045
8.684,0.06
8.688,0.065
8.692,0.055
8.696,0.06
8.7,0.065
8.704,0.06
8.708,0.06
8.712,0.06
8.716,0.075
8.72,0.06
8.724,0.07
8.728,0.07
8.732,0.07
8.736,0.08
8.74,0.07
8.744,0.075
8.748,0.08
8.752,0.08
8.756,0.09
8.76,0.08
8.764,0.08
8.768,0.08
8.772,0.105
8.776,0.08
8.78,0.11
8.784,0.105
8.788,0.11
8.792,0.11
8.796,0.11
8.8,0.115
8.804,0.125
8.808,0.135
8.812,0.13
8.816,0.145
8.82,0.15
8.824,0.125
8.828,0.12
8.832,0.125
8.836,0.135
8.84,0.125
8.844,0.11
8.848,0.105
8.852,0.095
8.856,0.09
8.86,0.09
8.864,0.08
8.868,0.08
8.872,0.07
8.876,0.055
8.88,0.065
8.884,0.07
8.888,0.06
8.892,0.065
8.896,0.07
8.9,0.065
8.904,0.075
8.908,0.08
8.912,0.075
8.916,0.065
8.92,0.06
8.924,0.08
8.928,0.06
8.932,0.08
8.936,0.06
8.94,0.12
8.944,0.14
8.948,0.205
8.952,0.325
8.956,0.495
8.96,0.715
8.964,0.9
8.968,0.94
8.972,0.7
8.976,0.38
8.98,-0.01
8.984,-0.31
8.988,-0.385
8.992,-0.38
8.996,-0.255
9.0,-0.145
9.004,-0.1
9.008,-0.035
9.012,-0.0
9.016,0.04
9.02,0.055
9.024,0.07
9.028,0.065
9.032,0.07
9.036,0.08
9.04,0.075
9.044,0.085
9.048,0.075
9.052,0.09
9.056,0.085
9.06,0.095
9.064,0.1
9.068,0.1
9.072,0.1
9.076,0.115
9.08,0.1
9.084,0.115
9.088,0.13
9.092,0.11
9.096,0.12
9.1,0.13
9.104,0.14
9.108,0.135
9.112,0.12
9.116,0.14
9.12,0.145
9.124,0.145
9.128,0.15
9.132,0.14
9.136,0.145
9.14,0.16
9.144,0.16
9.148,0.16
9.152,0.18
9.156,0.175
9.16,0.165
9.164,0.18
9.168,0.185
9.172,0.2
9.176,0.2
9.18,0.2
9.184,0.205
9.188,0.225
9.192,0.23
9.196,0.235
9.2,0.22
9.204,0.22
9.208,0.22
9.212,0.22
9.216,0.215
9.22,0.23
9.224,0.22
9.228,0.21
9.232,0.215
9.236,0.2
9.24,0.185
9.244,0.185
9.248,0.185
9.252,0.175
9.256,0.16
9.26,0.135
9.264,0.125
9.268,0.1
9.272,0.105
9.276,0.065
9.28,0.075
9.284,0.05
9.288,0.035
9.292,0.02
9.296,0.005
9.3,0.02
9.304,0.02
9.308,-0.0
9.312,-0.0
9.316,0.015
9.32,-0.0
9.324,-0.01
9.328,-0.0
9.332,-0.0
9.336,-0.0
9.34,-0.005
9.344,0.005
9.348,0.015
9.352,-0.0
9.356,0.01
9.36,0.02
9.364,0.005
9.368,0.02
9.372,0.02
9.376,0.025
9.38,0.035
9.384,0.02
9.388,0.03
9.392,0.025
9.396,0.045
9.4,0.035
9.404,0.005
9.408,0.035
9.412,0.04
9.416,0.04
9.42,0.03
9.424,0.035
9.428,0.035
9.432,0.05
9.436,0.045
9.44,0.045
9.444,0.06
9.448,0.035
9.452,0.055
9.456,0.04
9.46,0.04
9.464,0.05
9.468,0.035
9.472,0.045
9.476,0.06
9.48,0.055
9.484,0.06
9.488,0.05
9.492,0.06
9.496,0.035
9.5,0.06
9.504,0.045
9.508,0.04
9.512,0.06
9.516,0.04
9.52,0.04
9.524,0.055
9.528,0.05
9.532,0.06
9.536,0.06
9.54,0.06
9.544,0.06
9.548,0.05
9.552,0.06
9.556,0.05
9.56,0.065
9.564,0.05
9.568,0.055
9.572,0.06
9.576,0.06
9.58,0.065
9.584,0.05
9.588,0.065
9.592,0.055
9.596,0.05
9.6,0.06
9.604,0.065
9.608,0.08
9.612,0.055
9.616,0.085
9.62,0.06
9.624,0.08
9.628,0.065
9.632,0.08
9.636,0.08
9.64,0.1
9.644,0.08
9.648,0.11
9.652,0.1
9.656,0.105
9.66,0.115
9.664,0.11
9.668,0.125
9.672,0.145
9.676,0.145
9.68,0.145
9.684,0.135
9.688,0.14
9.692,0.12
9.696,0.13
9.7,0.135
9.704,0.125
9.708,0.12
9.712,0.105
9.716,0.105
9.72,0.09
9.724,0.1
9.728,0.08
9.732,0.08
9.736,0.06
9.74,0.08
9.744,0.07
9.748,0.065
9.752,0.07
9.756,0.065
9.76,0.07
9.764,0.07
9.768,0.09
9.772,0.065
9.776,0.08
9.78,0.065
9.784,0.1
9.788,0.07
9.792,0.08
9.796,0.075
9.8,0.085
9.804,0.115
9.808,0.14
9.812,0.2
9.816,0.285
9.82,0.44
9.824,0.63
9.828,0.84
9.832,0.885
9.836,0.795
9.84,0.5
9.844,0.13
9.848,-0.225
9.852,-0.345
9.856,-0.38
9.86,-0.265
9.864,-0.155
9.868,-0.095
9.872,-0.035
9.876,-0.01
9.88,0.05
9.884,0.075
9.888,0.08
9.892,0.085
9.896,0.09
9.9,0.07
9.904,0.08
9.908,0.075
9.912,0.08
9.916,0.085
9.92,0.09
9.924,0.095
9.928,0.095
9.932,0.1
9.936,0.1
9.94,0.1
9.944,0.115
9.948,0.1
9.952,0.11
9.956,0.125
9.96,0.115
9.964,0.125
9.968,0.12
9.972,0.13
9.976,0.14
9.98,0.135
9.984,0.15
9.988,0.135
9.992,0.14
9.996,0.16
10.0,0.16
10.004,0.17
10.008,0.175
10.012,0.165
10.016,0.18
10.02,0.18
10.024,0.2
10.028,0.2
10.032,0.195
10.036,0.195
10.04,0.21
10.044,0.21
10.048,0.22
10.052,0.22
10.056,0.22
10.06,0.22
10.064,0.225
10.068,0.24
10.072,0.235
10.076,0.24
10.08,0.23
10.084,0.225
10.088,0.225
10.092,0.22
10.096,0.22
10.1,0.215
10.104,0.22
10.108,0.205
10.112,0.185
10.116,0.17
10.12,0.17
10.124,0.16
10.128,0.16
10.132,0.125
10.136,0.115
10.14,0.075
10.144,0.08
10.148,0.06
10.152,0.04
10.156,0.03
10.16,0.02
10.164,0.025
10.168,0.005
10.172,-0.0
10.176,-0.005
10.18,-0.0
10.184,-0.0
10.188,-0.005
10.192,-0.0
10.196,-0.01
10.2,-0.0
10.204,0.005
10.208,-0.0
10.212,-0.0
10.216,0.01
10.22,0.015
10.224,0.01
10.228,0.01
10.232,0.015
10.236,0.02
10.24,0.025
10.244,0.015
10.248,0.03
10.252,0.015
10.256,0.035
10.26,0.04
10.264,0.025
10.268,0.02
10.272,0.03
10.276,0.035
10.28,0.04
10.284,0.05
10.288,0.04
10.292,0.05
10.296,0.04
10.3,0.06
10.304,0.05
10.308,0.06
10.312,0.055
10.316,0.055
10.32,0.065
10.324,0.06
10.328,0.065
10.332,0.055
10.336,0.055
10.34,0.05
10.344,0.06
10.348,0.06
10.352,0.06
10.356,0.05
10.36,0.06
10.364,0.06
10.368,0.045
10.372,0.05
10.376,0.06
10.38,0.05
10.384,0.05
10.388,0.06
10.392,0.065
10.396,0.06
10.4,0.06
10.404,0.055
10.408,0.06
10.412,0.06
10.416,0.08
10.42,0.065
10.424,0.06
10.428,0.07
10.432,0.065
10.436,0.07
10.44,0.055
10.444,0.075
10.448,0.07
10.452,0.08
10.456,0.075
10.46,0.06
10.464,0.07
10.468,0.065
10.472,0.08
10.476,0.055
10.48,0.06
10.484,0.06
10.488,0.075
10.492,0.075
10.496,0.095
10.5,0.09
10.504,0.095
10.508,0.08
10.512,0.1
10.516,0.1
10.52,0.125
10.524,0.135
10.528,0.13
10.532,0.14
10.536,0.14
10.54,0.13
10.544,0.125
10.548,0.115
10.552,0.12
10.556,0.115
10.56,0.1
10.564,0.105
10.568,0.08
10.572,0.095
10.576,0.085
10.58,0.07
10.584,0.09
10.588,0.06
10.592,0.075
10.596,0.065
10.6,0.065
10.604,0.08
10.608,0.08
10.612,0.065
10.616,0.07
10.62,0.085
10.624,0.08
10.628,0.095
10.632,0.08
10.636,0.09
10.64,0.075
10.644,0.085
10.648,0.07
10.652,0.1
10.656,0.12
10.66,0.185
10.664,0.25
10.668,0.4
10.672,0.56
10.676,0.755
10.68,0.865
10.684,0.87
10.688,0.615
10.692,0.245
10.696,-0.12
10.7,-0.31
10.704,-0.38
10.708,-0.285
10.712,-0.19
10.716,-0.1
10.72,-0.04
10.724,-0.0
10.728,0.02
10.732,0.04
10.736,0.06
10.74,0.055
10.744,0.065
10.748,0.065
10.752,0.06
10.756,0.065
10.76,0.085
10.764,0.09
10.768,0.08
10.772,0.08
10.776,0.1
10.78,0.095
10.784,0.1
10.788,0.1
10.792,0.1
10.796,0.08
10.8,0.1
10.804,0.1
10.808,0.1
10.812,0.115
10.816,0.1
10.82,0.135
10.824,0.12
10.828,0.12
10.832,0.125
10.836,0.125
10.84,0.135
10.844,0.13
10.848,0.13
10.852,0.145
10.856,0.15
10.86,0.155
10.864,0.165
10.868,0.16
10.872,0.17
10.876,0.175
10.88,0.19
10.884,0.2
10.888,0.19
10.892,0.19
10.896,0.2
10.9,0.21
10.904,0.22
10.908,0.22
10.912,0.235
10.916,0.24
10.92,0.225
10.924,0.22
10.928,0.225
10.932,0.23
10.936,0.225
10.94,0.22
10.944,0.2
10.948,0.195
10.952,0.21
10.956,0.21
10.96,0.205
10.964,0.175
10.968,0.16
10.972,0.16
10.976,0.115
10.98,0.105
10.984,0.1
10.988,0.07
10.992,0.065
10.996,0.06
11.0,0.015
11.004,0.06
11.008,0.015
11.012,0.02
11.016,0.025
11.02,0.015
11.024,-0.0
11.028,-0.0
11.032,-0.0
11.036,0.005
11.04,-0.01
11.044,-0.0
11.048,-0.0
11.052,-0.015
11.056,0.01
11.06,-0.0
11.064,0.01
11.068,-0.0
11.072,-0.0
11.076,0.015
11.08,-0.0
11.084,0.02
11.088,-0.0
11.092,0.005
11.096,-0.0
11.1,0.015
11.104,0.015
11.108,0.03
11.112,0.025
11.116,0.015
11.12,0.025
11.124,0.03
11.128,0.02
11.132,0.04
11.136,0.025
11.14,0.025
11.144,0.055
11.148,0.04
11.152,0.025
11.156,0.05
11.16,0.045
11.164,0.04
11.168,0.045
11.172,0.055
11.176,0.05
11.18,0.055
11.184,0.06
11.188,0.06
11.192,0.05
11.196,0.06
11.2,0.06
11.204,0.05
11.208,0.045
11.212,0.05
11.216,0.06
11.22,0.055
11.224,0.065
11.228,0.06
11.232,0.045
11.236,0.06
11.24,0.055
11.244,0.05
11.248,0.055
11.252,0.05
11.256,0.075
11.26,0.05
11.264,0.075
11.268,0.065
11.272,0.07
11.276,0.075
11.28,0.05
11.284,0.06
11.288,0.05
11.292,0.06
11.296,0.06
11.3,0.06
11.304,0.065
11.308,0.07
11.312,0.08
11.316,0.055
11.32,0.06
11.324,0.08
11.328,0.06
11.332,0.06
11.336,0.065
11.34,0.075
11.344,0.065
11.348,0.07
11.352,0.07
11.356,0.075
11.36,0.095
11.364,0.09
11.368,0.1
11.372,0.08
11.376,0.105
11.38,0.095
11.384,0.115
11.388,0.115
11.392,0.14
11.396,0.12
11.4,0.12
11.404,0.135
11.408,0.12
11.412,0.11
11.416,0.115
11.42,0.11
11.424,0.095
11.428,0.1
11.432,0.095
11.436,0.08
11.44,0.085
11.444,0.065
11.448,0.07
11.452,0.07
11.456,0.05
11.46,0.055
11.464,0.055
11.468,0.065
11.472,0.06
11.476,0.065
11.48,0.08
11.484,0.08
11.488,0.075
11.492,0.07
11.496,0.075
11.5,0.08
11.504,0.08
11.508,0.07
11.512,0.08
11.516,0.08
11.52,0.1
11.524,0.14
11.528,0.165
11.532,0.26
11.536,0.38
11.54,0.58
11.544,0.785
11.548,0.92
11.552,0.92
11.556,0.635
11.56,0.265
11.564,-0.135
11.568,-0.33
11.572,-0.4
11.576,-0.32
11.58,-0.195
11.584,-0.11
11.588,-0.06
11.592,-0.01
11.596,0.005
11.6,0.065
11.604,0.06
11.608,0.075
11.612,0.06
11.616,0.07
11.62,0.08
11.624,0.07
11.628,0.09
11.632,0.08
11.636,0.085
11.64,0.075
11.644,0.09
11.648,0.08
11.652,0.09
11.656,0.09
11.66,0.1
11.664,0.095
11.668,0.1
11.672,0.11
11.676,0.1
11.68,0.09
11.684,0.1
11.688,0.11
11.692,0.105
11.696,0.12
11.7,0.12
11.704,0.11
11.708,0.125
11.712,0.12
11.716,0.135
11.72,0.14
11.724,0.14
11.728,0.15
11.732,0.16
11.736,0.16
11.74,0.16
11.744,0.175
11.748,0.18
11.752,0.18
11.756,0.19
11.76,0.2
11.764,0.215
11.768,0.22
11.772,0.205
11.776,0.205
11.78,0.215
11.784,0.235
11.788,0.24
11.792,0.24
11.796,0.24
11.8,0.235
11.804,0.235
11.808,0.215
11.812,0.215
11.816,0.22
11.82,0.225
11.824,0.22
11.828,0.21
11.832,0.2
11.836,0.18
11.84,0.175
11.844,0.155
11.848,0.13
11.852,0.12
11.856,0.1
11.86,0.08
11.864,0.07
11.868,0.06
11.872,0.045
11.876,0.025
11.88,0.02
11.884,-0.0
11.888,0.005
11.892,-0.0
11.896,-0.0
11.9,-0.02
11.904,-0.0
11.908,-0.0
11.912,-0.0
11.916,-0.0
11.92,-0.0
11.924,0.005
11.928,-0.0
11.932,-0.01
11.936,-0.0
11.94,-0.0
11.944,-0.0
11.948,-0.0
11.952,0.015
11.956,-0.0
11.96,0.015
11.964,0.02
11.968,0.03
11.972,0.015
11.976,0.02
11.98,0.02
11.984,0.025
11.988,0.035
11.992,0.03
11.996,0.01
12.0,0.03
12.004,0.03
12.008,0.025
12.012,0.04
12.016,0.02
12.02,0.04
12.024,0.035
12.028,0.02
12.032,0.045
12.036,0.04
12.04,0.04
12.044,0.05
12.048,0.04
12.052,0.04
12.056,0.045
12.06,0.055
12.064,0.06
12.068,0.05
12.072,0.05
12.076,0.045
12.08,0.035
12.084,0.06
12.088,0.05
12.092,0.05
12.096,0.045
12.1,0.06
12.104,0.07
12.108,0.065
12.112,0.065
12.116,0.065
12.12,0.065
12.124,0.075
12.128,0.08
12.132,0.08
12.136,0.08
12.14,0.075
12.144,0.075
12.148,0.075
12.152,0.075
12.156,0.06
12.16,0.075
12.164,0.075
12.168,0.08
12.172,0.075
12.176,0.08
12.18,0.07
12.184,0.08
12.188,0.08
12.192,0.085
12.196,0.08
12.2,0.075
12.204,0.08
12.208,0.08
12.212,0.08
12.216,0.07
12.22,0.1
12.224,0.08
12.228,0.08
12.232,0.07
12.236,0.08
12.24,0.07
12.244,0.085
12.248,0.07
12.252,0.09
12.256,0.075
12.26,0.085
12.264,0.09
12.268,0.1
12.272,0.12
12.276,0.105
12.28,0.115
12.284,0.1
12.288,0.11
12.292,0.115
12.296,0.135
12.3,0.125
12.304,0.135
12.308,0.135
12.312,0.14
12.316,0.13
12.32,0.115
12.324,0.105
12.328,0.12
12.332,0.12
12.336,0.11
12.34,0.11
12.344,0.105
12.348,0.09
12.352,0.095
12.356,0.08
12.36,0.08
12.364,0.065
12.368,0.075
12.372,0.08
12.376,0.065
12.38,0.08
12.384,0.07
12.388,0.08
12.392,0.07
12.396,0.08
12.4,0.065
12.404,0.08
12.408,0.08
12.412,0.08
12.416,0.075
12.42,0.085
12.424,0.09
12.428,0.07
12.432,0.125
12.436,0.145
12.44,0.205
12.444,0.32
12.448,0.48
12.452,0.7
12.456,0.895
12.46,0.975
12.464,0.79
12.468,0.485
12.472,0.08
12.476,-0.235
12.48,-0.36
12.484,-0.36
12.488,-0.25
12.492,-0.15
12.496,-0.08
12.5,-0.04
12.504,0.005
12.508,0.04
12.512,0.065
12.516,0.08
12.52,0.07
12.524,0.065
12.528,0.07
12.532,0.075
12.536,0.08
12.54,0.08
12.544,0.095
12.548,0.07
12.552,0.09
12.556,0.095
12.56,0.09
12.564,0.1
12.568,0.1
12.572,0.105
12.576,0.095
12.58,0.115
12.584,0.12
12.588,0.13
12.592,0.11
12.596,0.115
12.6,0.12
12.604,0.105
12.608,0.125
12.612,0.125
12.616,0.125
12.62,0.14
12.624,0.14
12.628,0.14
12.632,0.15
12.636,0.16
12.64,0.155
12.644,0.165
12.648,0.175
12.652,0.16
12.656,0.175
12.66,0.18
12.664,0.185
12.668,0.2
12.672,0.2
12.676,0.22
12.68,0.22
12.684,0.22
12.688,0.235
12.692,0.23
12.696,0.235
12.7,0.24
12.704,0.24
12.708,0.23
12.712,0.235
12.716,0.235
12.72,0.23
12.724,0.23
12.728,0.23
12.732,0.21
12.736,0.205
12.74,0.2
12.744,0.21
12.748,0.18
12.752,0.16
12.756,0.155
12.76,0.135
12.764,0.12
12.768,0.11
12.772,0.08
12.776,0.08
12.78,0.045
12.784,0.05
12.788,0.04
12.792,0.02
12.796,0.02
12.8,0.02
12.804,0.01
12.808,0.01
12.812,-0.0
12.816,-0.0
12.82,-0.015
12.824,-0.0
12.828,0.015
12.832,-0.0
12.836,-0.005
12.84,-0.0
12.844,-0.0
12.848,0.005
12.852,-0.0
12.856,0.02
12.86,0.005
12.864,0.02
12.868,0.015
12.872,0.015
12.876,0.005
12.88,0.02
12.884,0.03
12.888,0.02
12.892,0.02
12.896,0.03
12.9,0.02
12.904,0.035
12.908,0.03
12.912,0.02
12.916,0.045
12.92,0.035
12.924,0.035
12.928,0.04
12.932,0.04
12.936,0.035
12.94,0.045
12.944,0.02
12.948,0.06
12.952,0.035
12.956,0.04
12.96,0.05
12.964,0.04
12.968,0.05
12.972,0.045
12.976,0.04
12.98,0.04
12.984,0.055
12.988,0.06
12.992,0.04
12.996,0.05
13.0,0.05
13.004,0.055
13.008,0.06
13.012,0.06
13.016,0.075
13.02,0.045
13.024,0.065
13.028,0.075
13.032,0.06
13.036,0.075
13.04,0.065
13.044,0.075
13.048,0.07
13.052,0.06
13.056,0.065
13.06,0.06
13.064,0.08
13.068,0.065
13.072,0.09
13.076,0.07
13.08,0.065
13.084,0.065
13.088,0.085
13.092,0.08
13.096,0.07
13.1,0.07
13.104,0.065
13.108,0.085
13.112,0.06
13.116,0.075
13.12,0.08
13.124,0.09
13.128,0.08
13.132,0.08
13.136,0.08
13.14,0.09
13.144,0.08
13.148,0.08
13.152,0.095
13.156,0.08
13.16,0.08
13.164,0.085
13.168,0.07
13.172,0.08
13.176,0.075
13.18,0.08
13.184,0.07
13.188,0.08
13.192,0.08
13.196,0.085
13.2,0.095
13.204,0.09
13.208,0.09
13.212,0.095
13.216,0.1
13.22,0.1
13.224,0.1
13.228,0.105
13.232,0.105
13.236,0.115
13.24,0.12
13.244,0.115
13.248,0.14
13.252,0.145
13.256,0.15
13.26,0.15
13.264,0.145
13.268,0.13
13.272,0.135
13.276,0.135
13.28,0.115
13.284,0.11
13.288,0.12
13.292,0.11
13.296,0.095
13.3,0.1
13.304,0.095
13.308,0.09
13.312,0.075
13.316,0.07
13.32,0.075
13.324,0.085
13.328,0.075
13.332,0.08
13.336,0.08
13.34,0.085
13.344,0.1
13.348,0.09
13.352,0.085
13.356,0.09
13.36,0.08
13.364,0.09
13.368,0.075
13.372,0.09
13.376,0.08
13.38,0.105
13.384,0.13
13.388,0.195
13.392,0.29
13.396,0.425
13.4,0.615
13.404,0.85
13.408,0.925
13.412,0.86
13.416,0.57
13.42,0.205
13.424,-0.2
13.428,-0.34
13.432,-0.375
13.436,-0.295
13.44,-0.18
13.444,-0.12
13.448,-0.05
13.452,-0.005
13.456,0.02
13.46,0.05
13.464,0.065
13.468,0.065
13.472,0.065
13.476,0.065
13.48,0.07
13.484,0.075
13.488,0.08
13.492,0.07
13.496,0.09
13.5,0.08
13.504,0.085
13.508,0.08
13.512,0.095
13.516,0.1
13.52,0.095
13.524,0.1
13.528,0.09
13.532,0.105
13.536,0.11
13.54,0.105
13.544,0.125
13.548,0.12
13.552,0.14
13.556,0.125
13.56,0.135
13.564,0.14
13.568,0.12
13.572,0.135
13.576,0.145
13.58,0.15
13.584,0.16
13.588,0.15
13.592,0.175
13.596,0.155
13.6,0.18
13.604,0.18
13.608,0.18
13.612,0.195
13.616,0.205
13.62,0.205
13.624,0.2
13.628,0.215
13.632,0.23
13.636,0.23
13.64,0.235
13.644,0.245
13.648,0.235
13.652,0.235
13.656,0.24
13.66,0.235
13.664,0.24
13.668,0.235
13.672,0.225
13.676,0.22
13.68,0.23
13.684,0.21
13.688,0.2
13.692,0.19
13.696,0.185
13.7,0.16
13.704,0.135
13.708,0.14
13.712,0.115
13.716,0.105
13.72,0.08
13.724,0.06
13.728,0.075
13.732,0.055
13.736,0.025
13.74,0.02
13.744,0.02
13.748,0.015
13.752,0.01
13.756,0.005
13.76,-0.0
13.764,-0.015
13.768,-0.0
13.772,-0.01
13.776,-0.015
13.78,-0.005
13.784,0.01
13.788,0.005
13.792,-0.0
13.796,0.015
13.8,-0.0
13.804,0.005
13.808,-0.0
13.812,0.015
13.816,-0.0
13.82,0.015
13.824,0.02
13.828,0.02
13.832,0.02
13.836,0.02
13.84,0.01
13.844,0.02
